Empresa,RIF,ORD-04-11-SOL,ORD-04-11-MON,OTRO-04-11-SOL,OTRO-04-11-MON,Sol,Mon
"123.COM.VE,C.A",J-307760850,0,$0,29,"$16,048,535",29,"$16,048,535"
"171 EMERGENCIA, C.A.",J-305258945,720,"$26,459,576",0,$0,720,"$26,459,576"
2 M CENTER,J-309738224,217,"$80,386,931",0,$0,217,"$80,386,931"
"2M-INGENIERIA, C.A.",J-075466454,8,"$24,011",0,$0,8,"$24,011"
"2PP-IMPORT,C.A.",J-313699616,4,"$182,981",0,$0,4,"$182,981"
"3 LOCURA, C.A",J-313036358,88,"$11,414,572",0,$0,88,"$11,414,572"
357 SPA CLUB C.A.,J-301932994,29,"$742,927",0,$0,29,"$742,927"
3A JOHNSON CONTROLS ANDINA C.A.,J-304254504,1380,"$44,440,741",0,$0,1380,"$44,440,741"
3I DE VENEZUELA C.A.,J-296232024,0,$0,0,$0,0,$0
"3M ASOCIADOS, C.A.",J-312076879,61,"$29,649,750",0,$0,61,"$29,649,750"
3M MANUFACTURERA VENEZUELA SA,J-000671656,6254,"$176,869,618",9,"$36,759,368",6263,"$213,628,986"
77 FIXING SYSTEMS C.A.,J-308442216,140,"$6,212,517",0,$0,140,"$6,212,517"
A & A ELECTRONICA,J-311812709,64,"$25,753,397",0,$0,64,"$25,753,397"
"A & V DEL CARIBE, C.A.",J-312302208,35,"$1,189,581",0,$0,35,"$1,189,581"
A V TECHNOLOGY C A,J-309279777,177,"$7,407,189",0,$0,177,"$7,407,189"
"A Y C QUIMICA, C.A.",J-312336323,4,"$180,251",0,$0,4,"$180,251"
"A-Z MERCADEO INTEGRAL, C.A.",J-316525112,48,"$1,314,557",0,$0,48,"$1,314,557"
A. C. FESTIVAL DE TRADICIONES AFROAMERICANAS,J-311247904,0,$0,2,$250,2,$250
A.C DE RESPONSABILIDAD LIMITADA SAN JOSE OBRERO,J-085016562,38,"$5,351,332",0,$0,38,"$5,351,332"
A.C IGLESIA LAS BUENAS NUEVAS,J-085188134,0,$0,1,"$17,500",1,"$17,500"
"A.C TRANSPORTE DE AGRICULTORES, MAICEROS Y GANADEROS",J-316612260,10,"$782,322",0,$0,10,"$782,322"
A.C. COMITE EJECUTIVO DE LA COPA AMERICA VENEZUELA 2007,J-315029847,0,$0,4,"$5,883,000",4,"$5,883,000"
A.C. DE PRODUCTORES DE DURAZNO Y CAFE,J-306465910,11,"$472,384",0,$0,11,"$472,384"
A.C. FESTIVAL DE TRADICIONES AFROAMERICANAS,J-31124790,0,$0,1,$30,1,$30
A.C. GRUPO DE TEATRO DIOS CON NOSOTROS,J-308916196,0,$0,1,$13,1,$13
A.C. PIA SOCIEDAD DE HIJAS DE SAN PABLO DE VENEZUELA,J-001021302,77,"$913,399",0,$0,77,"$913,399"
A.C. SOCIEDAD SAN PABLO DE VENEZUELA,J-000638357,99,"$2,274,127",0,$0,99,"$2,274,127"
A.C.M  IMPORT C.A.,J-303727751,13,"$101,942",0,$0,13,"$101,942"
A.F.Q. SERVICIOS C.A.,J-304775636,1,"$5,200",0,$0,1,"$5,200"
A.J. SOLUTIONS,J-313286990,35,"$3,238,527",0,$0,35,"$3,238,527"
"A.M.A. ELECTRONIC, C.A.",J-312071141,47,"$22,856,021",0,$0,47,"$22,856,021"
"A.P AUTOPARTES, C.A",J-301928423,121,"$3,495,086",0,$0,121,"$3,495,086"
"A.P. ASOCIADOS, C.A.",J-095049310,149,"$1,710,880",0,$0,149,"$1,710,880"
A.P. DISTRIBUCIONES Y REPRESENTACIONES C.A.,J-1791574,462,"$5,240,991",0,$0,462,"$5,240,991"
"A.T.C. SOTOMAR, C.A.",J-317117140,0,$0,0,$0,0,$0
A.V. INVER�S C.A.,J-311506721,1,"$8,939",0,$0,1,"$8,939"
"A.Z.INDUSTRIAL,C.A.",J-000736839,399,"$2,740,230",0,$0,399,"$2,740,230"
A&B METALMECANICA C.A,J-001046976,45,"$2,019,298",0,$0,45,"$2,019,298"
A2M ELIXIRS GROUP C.A.,J-314766619,1,"$18,074",0,$0,1,"$18,074"
AA CARS IMPORTACIONES C.A.,J-312780487,3,"$128,107",0,$0,3,"$128,107"
"AA EXPORT IMPORT,S.A",J-302840740,269,"$14,177,268",0,$0,269,"$14,177,268"
"AB ENGINEERING SERVICES, S.A.",J-313026069,8,"$186,471",0,$0,8,"$186,471"
"AB MARINE GROUP, S.A. ANTES (ARTIGIANA BATTELLI)",J-085273239,15,"$449,685",0,$0,15,"$449,685"
"ABAD AIR INC, C.A.",J-304663757,256,"$7,788,439",0,$0,256,"$7,788,439"
"ABBA CHEM SUPPLY, C.A",J-003703940,2059,"$91,913,034",0,$0,2059,"$91,913,034"
"ABBOTT LABORATORIES, C.A.",J-000836493,8872,"$1,183,580,050",5,"$21,245",8877,"$1,183,601,295"
ABC FALCON C.A.,J-297922768,3,"$154,971",0,$0,3,"$154,971"
ABCFORMAS Y SISTEMAS.CA.,J-001650130,131,"$5,132,775",0,$0,131,"$5,132,775"
ABELEC ABASTECIMIENTOS ELECTRICOS S.A.,J-001425543,267,"$13,950,284",0,$0,267,"$13,950,284"
ABISMO C.A.,J-309995871,107,"$13,203,085",0,$0,107,"$13,203,085"
ABN AMRO BANK N.V SUCURSAL VENEZUELA,J-001352201,0,$0,44,"$10,888,079",44,"$10,888,079"
ABRAFER DE VENEZUELA C.A. ANTES (ABRACOL DE VENEZUELA C.A.,J-302040183,256,"$14,552,647",0,$0,256,"$14,552,647"
ABRASIVOS ARO C.A.,J-301894260,6,"$45,131",0,$0,6,"$45,131"
"ABUIN GARCIA OIL, C.A",J-306054685,24,"$1,935,004",0,$0,24,"$1,935,004"
"AC 2000 DE VENEZUELA, C.A.",J-306584110,41,"$1,060,478",0,$0,41,"$1,060,478"
AC AZIMUT,J-298734752,0,$0,1,"$147,615",1,"$147,615"
AC PLAN CARACAS,J-309759299,0,$0,1,"$163,625",1,"$163,625"
"AC, ORFE�N UNIVERSITARIO SIM�N BOL�VAR",J-300147568,0,$0,1,$18,1,$18
"ACABADO Y RECUBRIMIENTO DE PIELES Y TEXTILES, C.A",J-002070226,1134,"$69,089,499",0,$0,1134,"$69,089,499"
ACABADOS COLMENARES MORA C.A,J-300335771,93,"$3,374,651",0,$0,93,"$3,374,651"
ACADEMIA DE BEISBOL MENOR PINAR DEL RIO,J-306544968,47,"$1,039,467",0,$0,47,"$1,039,467"
ACADEMIA NACIONAL DE LA HISTORIA,J-002487186,0,$0,4,"$17,411",4,"$17,411"
"ACADEMIA VENEZOLANA DE F�TBOL, S.R.L.",J-002776870,0,$0,1,"$16,657",1,"$16,657"
"ACBL DE VENEZUELA,C.A.",J-301363060,50,"$1,699,529",0,$0,50,"$1,699,529"
"ACCENTURE, C.A.",J-002689110,0,$0,11,"$2,913,500",11,"$2,913,500"
"ACCESORIES UNLIMITED, C.A",J-313444081,6,"$507,614",0,$0,6,"$507,614"
"ACCESORIOS  LEAL, C.A",J-001568298,111,"$2,590,952",0,$0,111,"$2,590,952"
ACCESORIOS HOT - CELL C.A.,J-310955840,30,"$1,970,320",0,$0,30,"$1,970,320"
"ACCESORIOS KRAMER, C.A.",J-306641530,187,"$9,189,053",0,$0,187,"$9,189,053"
ACCESS CONTROL & AUTOMATICS DOORS C.A.,J-313906573,1,"$20,223",0,$0,1,"$20,223"
"ACEBRON, C.A.",J-315000857,1,"$18,565",0,$0,1,"$18,565"
"ACERO FABRICANTES, C.A.",J-070053542,21,"$1,450,629",0,$0,21,"$1,450,629"
"ACERO GALVANIZADO P&M, C.A.",J-000429456,51,"$5,366,800",2,"$1,809,330",53,"$7,176,130"
"ACEROS LAMINADOS, C.A.",J-075217799,273,"$65,232,360",1,"$48,093",274,"$65,280,453"
"ACEROS VENEZOLANOS,C.A.",J-70281448,2,"$183,371",0,$0,2,"$183,371"
"ACHABALTECNOLOGIA, .S.A.",J-307463201,12,"$1,092,242",0,$0,12,"$1,092,242"
ACIDOS Y MINERALES DE VENEZUELA C.A.,J-302834570,0,$0,0,$0,0,$0
ACIMP C.A.,J-307583835,179,"$5,911,624",0,$0,179,"$5,911,624"
ACOMA INGENIERIA S.A,J-001248951,5,"$109,554",0,$0,5,"$109,554"
ACONTE CA,J-309861484,4,"$302,324",0,$0,4,"$302,324"
"ACOVEX, C.A.",J-313941425,3,"$95,144",0,$0,3,"$95,144"
ACRIKEM C.A.,J-306636781,162,"$8,406,618",0,$0,162,"$8,406,618"
"ACRILUM, C.A.",J-302698367,52,"$726,377",0,$0,52,"$726,377"
ACTORES DE LA CIUDAD,J-312644958,0,$0,1,$650,1,$650
"ACUMULADORES DUNCAN, C.A.",J-000003505,705,"$47,421,916",0,$0,705,"$47,421,916"
"ACUMULADORES TITAN, C.A.",J-000985405,1304,"$68,171,074",0,$0,1304,"$68,171,074"
"ACUSTECH, C.A.",J-311837248,22,"$1,161,397",0,$0,22,"$1,161,397"
"ACYL ZONA LIBRE, C.A.",J-294762964,1,"$88,500",0,$0,1,"$88,500"
"ADDIGRAINS, C.A.",J-308710008,33,"$855,356",0,$0,33,"$855,356"
ADDTECHC.A,J-296837481,0,$0,0,$0,0,$0
ADESCO C.A.,J-000003742,4,"$240,144",0,$0,4,"$240,144"
ADHENACA C.A.,J-294209548,7,"$760,236",0,$0,7,"$760,236"
"ADHESIVOS ETITEC, C.A.",J-309281321,69,"$1,612,397",0,$0,69,"$1,612,397"
ADITIVOS ORINOCO DE VENEZUELA ADINOVEN,J-305175268,203,"$11,986,302",0,$0,203,"$11,986,302"
"ADITIVOS Y ALIMENTOS, C.A.",J-306981853,125,"$2,446,328",0,$0,125,"$2,446,328"
ADMINISTRADORA DE INMUEBLES C.A.,J-300959562,3,"$349,503",0,$0,3,"$349,503"
"ADMINISTRDORA LA PARAGUA,C.A.",J-307988002,1,"$104,812",0,$0,1,"$104,812"
"ADN DE VENEZUELA, C.A.",J-317059832,0,$0,9,"$236,142",9,"$236,142"
ADORNOS ILU S.A.,J-000886857,27,"$2,430,213",0,$0,27,"$2,430,213"
ADRIAL MEDICO QUIRURGICO C.A.,J-002086157,97,"$3,710,507",0,$0,97,"$3,710,507"
"ADRIATICA DE SEGUROS, C.A.",J-000004471,0,$0,375,"$52,734,225",375,"$52,734,225"
ADRICHRIS TEXTIL CA,J-313575763,13,"$416,157",0,$0,13,"$416,157"
"ADVANCE DATA TRANSPORT,C.A.",J-312407174,2,"$22,841",0,$0,2,"$22,841"
"ADVANCE LABORATORIOS, C.A.",J-003387436,144,"$4,552,483",0,$0,144,"$4,552,483"
"ADVANCE TUBULAR DE VENEZUELA ATV, C.A.",J-306194509,5,"$1,224,973",0,$0,5,"$1,224,973"
"ADVANCED POS TECHNOLOGY, C.A.",J-309894250,203,"$12,158,263",0,$0,203,"$12,158,263"
"ADVANTAGE DE VENEZUELA 6995, C.A.",J-305338078,112,"$5,345,468",0,$0,112,"$5,345,468"
AE  ELECTROBOBINADOS  C.A.,J-311159355,5,"$318,093",0,$0,5,"$318,093"
AEROCENTRO DE SERVICIOS C.A,J-001426892,237,"$9,771,657",0,$0,237,"$9,771,657"
AEROCLOSET C.A.,J-308240486,45,"$515,897",0,$0,45,"$515,897"
"AEROFUMIGACIONES DE ORIENTE, S.A",J-000679266,7,"$451,240",0,$0,7,"$451,240"
"AEROL�NEAS ARGENTINAS, S.A",J-001588779,0,$0,89,"$63,692,897",89,"$63,692,897"
AEROPANAMERICANO C.A.,J-001531297,379,"$2,754,199",0,$0,379,"$2,754,199"
AEROPOSTAL ALAS DE VENEZUELA C.A.,J-303994911,109,"$25,430,828",28,"$9,281,314",137,"$34,712,142"
"AEROTﾃCNICA, S.A.",J-000004676,241,"$8,808,080",0,$0,241,"$8,808,080"
AEROVIAS DE INTEGRACION REGIONAL,J-309331671,0,$0,52,"$11,778,086",52,"$11,778,086"
AEROVIAS DE MEXICO S.A. DE C.V.,J-312689137,0,$0,0,$0,0,$0
"AEROVIAS DEL CONTINENTE AMERICANO, S.A (AVIANCA) (ANTES AE",J-000004692,0,$0,92,"$302,657,782",92,"$302,657,782"
AES C.A.,J-075728114,30,"$812,630",0,$0,30,"$812,630"
"AES ILUMINACION INTEGRAL, S.A.",J-310935947,56,"$3,005,954",0,$0,56,"$3,005,954"
AFFINIA VENEZUELA CA  ANTES (ECHLIN DE VENEZUELA C.A.),J-000664188,895,"$18,026,738",0,$0,895,"$18,026,738"
"AFINA VENEZUELA, C.A.",J-315841584,41,"$877,113",0,$0,41,"$877,113"
AFP FILTROS C.A.,J-301621271,12,"$267,665",0,$0,12,"$267,665"
"AFTON CHEMICAL DE VENEZUELA, C.A.",J-313690252,248,"$10,269,352",0,$0,248,"$10,269,352"
"AGA GAS, C.A.",J-000388270,1008,"$54,081,101",6,"$13,544,945",1014,"$67,626,046"
"AGARCORP DE VENEZUELA, C.A.",J-306934073,33,"$2,255,588",0,$0,33,"$2,255,588"
AGB C.A,J-312552700,2,"$297,358",0,$0,2,"$297,358"
"AGB PANAMERICANA DE VENEZUELA MEDICION, S.A.",J-301288670,22,"$926,236",94,"$5,122,231",116,"$6,048,467"
"AGENCIAS INDUSTRIALES, S.A.",J-315719533,1,$28,0,$0,1,$28
AGENDAS EMPREESARIALES ES DEVENEZUELA C.A.,J-309359894,15,"$1,189,108",0,$0,15,"$1,189,108"
"AGENTES INTERNACIONALES, C.A",J-304105878,4,"$948,571",0,$0,4,"$948,571"
AGFA GEVAERT DE VENEZUELA S.A,J-000440590,1940,"$45,454,318",2,"$1,454,797",1942,"$46,909,115"
"AGME INTERNATIONAL TRADING, C.A",J-316269116,72,"$2,761,606",0,$0,72,"$2,761,606"
"AGRA INTERNACIONAL DE VENEZUELA,C.A.",J-312928336,3,"$293,768",0,$0,3,"$293,768"
"AGREGADOS BOTOROA, S.A.",J-304914202,10,"$966,729",0,$0,10,"$966,729"
AGREGADOS LIVIANOS C.A.,J-000622965,9,"$253,392",0,$0,9,"$253,392"
AGREGADOS Y MATERIALES DE CONSTRUCCION S.A.,J-070022760,12,"$1,026,919",0,$0,12,"$1,026,919"
AGRI BUSINESS PACKING AGRIPACK C.A,J-301581270,3,"$305,004",0,$0,3,"$305,004"
AGRI SACOS C.A.,J-312337605,158,"$62,291,634",0,$0,158,"$62,291,634"
AGRI VENEZUELA C.A. (ANTES HYDRO AGRI VENEZUELA C.A.),J-301238400,228,"$94,727,912",0,$0,228,"$94,727,912"
AGRI-TECH C.A.,J-306203044,47,"$2,078,782",0,$0,47,"$2,078,782"
AGRIBRANDS PURINA VENEZUELA S.R.L.,J-000303959,686,"$212,611,800",3,"$5,365,653",689,"$217,977,453"
"AGRIC-MAQ,  C.A.",J-307936290,0,$0,0,$0,0,$0
"AGRICOLA AYB, C.A.",J-085026576,32,"$477,900",0,$0,32,"$477,900"
AGRICOLA LA QUEBRADA CA,J-317115082,7,"$749,310",0,$0,7,"$749,310"
"AGRICOLA PUERTO LA CRUZ, C.A.",J-306320350,0,$0,0,$0,0,$0
"AGRICOLA TANAUSU, C.A.",J-075053354,313,"$41,707,331",0,$0,313,"$41,707,331"
AGRICOLA TRUJILLANA C.A.,J-312059150,1,"$560,525",0,$0,1,"$560,525"
"AGRICOLONIAL, C.A.",J-075313747,6,"$308,678",0,$0,6,"$308,678"
"AGRICULTORES UNIDOS DE VENEZUELA, C.A.",J-294275770,15,"$452,950",0,$0,15,"$452,950"
AGRICULTURA MECANIZADA AGRIMEC SA,J-308327913,11,"$1,734,604",0,$0,11,"$1,734,604"
"AGRINOVA, C.A.",J-309059971,959,"$104,596,872",0,$0,959,"$104,596,872"
"AGRIPRO, C.A.",J-309346830,7,"$1,754,464",0,$0,7,"$1,754,464"
AGRIRUEDA C.A.,J-308167479,1,"$30,002",0,$0,1,"$30,002"
AGRITRADER S.A.,J-303865062,37,"$3,562,053",0,$0,37,"$3,562,053"
"AGRO AVICOLA EL CAIMITO, C.A.",J-307979640,15,"$1,139,793",0,$0,15,"$1,139,793"
"AGRO CONSORCIO OROGRAIN, C.A",J-003211818,264,"$83,134,538",0,$0,264,"$83,134,538"
AGRO EQUIPOS LATINO C.A.,J-315409933,12,"$736,030",0,$0,12,"$736,030"
AGRO HERMES C.A.,J-000994390,505,"$21,238,375",0,$0,505,"$21,238,375"
AGRO IMPORT FEHR INVERSIONES C.A,J-316257673,4,"$100,428",0,$0,4,"$100,428"
"AGRO INDUSTRIAL F&H, C.A.",J-095102920,205,"$2,747,688",0,$0,205,"$2,747,688"
"AGRO INDUSTRIAL OCCIDENTE, C. A.",J-308357219,330,"$15,780,057",0,$0,330,"$15,780,057"
AGRO INDUSTRIAL S.A.,J-000006407,12,"$202,903",0,$0,12,"$202,903"
AGRO INDUSTRIAS LACTEAS PACOMELA C.A.,J-070390921,5,"$282,353",0,$0,5,"$282,353"
AGRO INDUSTRIAS SAN MARTIN SA,J-313174645,23,"$11,477,284",0,$0,23,"$11,477,284"
"AGRO MAQUINAS DE VENEZUELA, CA",J-313059536,5,"$799,153",0,$0,5,"$799,153"
AGRO PARTES JD. C.A,J-305935084,1,"$4,872",0,$0,1,"$4,872"
"AGRO REPUESTO ACARIGUA, C.A.",J-310063516,3,"$121,560",0,$0,3,"$121,560"
"AGRO REPUESTOS J.H, C.A",J-304635516,49,"$1,642,900",0,$0,49,"$1,642,900"
AGRO REPUESTOS MM C.A.,J-060006589,274,"$17,470,876",0,$0,274,"$17,470,876"
AGRO REPUESTOS PAEZ C.A,J-304620420,21,"$566,256",0,$0,21,"$566,256"
AGRO REPUESTOS VENEZUELA C.A,J-311959939,30,"$942,272",0,$0,30,"$942,272"
"AGRO RIEGOS VICTORIA, C.A.",J-301021312,33,"$2,724,162",0,$0,33,"$2,724,162"
"AGRO RJ, C.A",J-400244951,0,$0,0,$0,0,$0
AGRO-BRASIL C.A.,J-316973794,43,"$6,666,352",0,$0,43,"$6,666,352"
AGRO-GANADERIA EL PORVENIR C.A.,J-308146943,19,"$4,078,760",0,$0,19,"$4,078,760"
"AGRO-INDUSTRIAS J.B., C.A.",J-311517987,34,"$1,713,821",0,$0,34,"$1,713,821"
"AGRO-TRAC, C.A.",J-309794558,1,"$4,948",0,$0,1,"$4,948"
AGROALIMENTARIA SURCARIBE C.A.,J-311521046,1,"$43,551",0,$0,1,"$43,551"
"AGROANDINA, AGRICULTURA ECOLOGICA ANDINA S.A. EMA",J-002945036,82,"$3,350,968",0,$0,82,"$3,350,968"
"AGROBUEYCA, S.A.",J-307140470,1057,"$720,528,874",4,"$669,487",1061,"$721,198,361"
"AGROCASA,C.A",J-312538376,194,"$6,935,608",0,$0,194,"$6,935,608"
AGROCUACHOS LA SOLUCION C.A.,J-313656615,0,$0,0,$0,0,$0
AGROEMPAQUES C.A.,J-313932655,28,"$1,165,396",0,$0,28,"$1,165,396"
"AGROEXITO, C. A.",J-303922007,251,"$9,650,477",0,$0,251,"$9,650,477"
AGROFORESTAL 1020 C.A,J-314083287,43,"$11,848,298",0,$0,43,"$11,848,298"
AGROFORESTAL EL ARCA C.A.,J-307564083,17,"$494,692",0,$0,17,"$494,692"
AGROGALDECA,J-080175395,41,"$982,356",0,$0,41,"$982,356"
AGROGENESIS C.A.,J-305258392,114,"$8,291,251",0,$0,114,"$8,291,251"
"AGROIMPORTA G.164B, C.A.",J-314064053,27,"$1,604,710",0,$0,27,"$1,604,710"
AGROINDUSTRIA LA CASCADA C.A.,J-311592458,1,"$127,200",0,$0,1,"$127,200"
"AGROINDUSTRIAL DEL PLASTICO,C.A",J-312063360,6,"$800,881",0,$0,6,"$800,881"
"AGROINDUSTRIAL FMKT, C.A.",J-299139696,3,"$685,861",0,$0,3,"$685,861"
AGROINDUSTRIAS ENMARY 777 CA,J-299834726,0,$0,0,$0,0,$0
AGROINSUMOS GRANEX C.A.,J-003129712,129,"$16,088,368",0,$0,129,"$16,088,368"
AGROINSUMOS LARA C.A,J-314634828,1,"$87,181",0,$0,1,"$87,181"
AGROINSUMOSRONDON C.A,J-302562724,138,"$4,470,235",0,$0,138,"$4,470,235"
AGROINVERSIONES MASCARO C.A.,J-311110569,9,"$451,754",0,$0,9,"$451,754"
AGROINVEST,J-314610376,1,"$165,453",0,$0,1,"$165,453"
"AGROISLEﾄA, C.A. SUCESORA DE ENRIQUE FRAGA AFONSO",J-000006431,888,"$322,326,011",0,$0,888,"$322,326,011"
"AGROLLANO SUPLIDORES, C.A.",J-306642137,18,"$805,499",0,$0,18,"$805,499"
AGROLUCHA C.A.,J-000890803,257,"$99,015,231",1,"$82,015",258,"$99,097,246"
"AGROMASSEY RB, C.A",J-309182030,11,"$3,006,217",0,$0,11,"$3,006,217"
AGROMERIDA.CA,J-311363270,27,"$1,476,184",0,$0,27,"$1,476,184"
AGROPART DE VENEZUELA C.A.,J-313228923,142,"$3,574,388",0,$0,142,"$3,574,388"
AGROPECUARIA 2002 C.A.,J-302241162,2,"$644,638",0,$0,2,"$644,638"
"AGROPECUARIA AGRIQUIMVET, C.A",J-302987105,0,$0,0,$0,0,$0
"AGROPECUARIA AGROINAS, C.A.",J-313104477,20,"$10,633,761",0,$0,20,"$10,633,761"
"AGROPECUARIA AGUADIA, C.A.",J-299700363,0,$0,0,$0,0,$0
"AGROPECUARIA APREME, C.A.",J-313544701,5,"$1,491,124",0,$0,5,"$1,491,124"
"AGROPECUARIA ARENERA EL CARDON,C.A",J-305285462,1,"$529,504",0,$0,1,"$529,504"
"AGROPECUARIA BAJO VERDE, C.A.",J-312969199,4,"$212,495",0,$0,4,"$212,495"
"AGROPECUARIA BRASIL 2005, C.A.",J-313272337,40,"$3,503,836",0,$0,40,"$3,503,836"
"AGROPECUARIA CAFE & CAFE, S.A",J-305287945,3,"$1,777,487",0,$0,3,"$1,777,487"
AGROPECUARIA CARENERO CA,J-314331671,8,"$5,893,389",0,$0,8,"$5,893,389"
AGROPECUARIA CASTILLO,J-308583391,5,"$1,568,150",0,$0,5,"$1,568,150"
AGROPECUARIA COSTHACAM C.A,J-307917431,20,"$2,784,265",0,$0,20,"$2,784,265"
AGROPECUARIA DE ALIMENTOS AGROALI C.A.,J-308498050,0,$0,0,$0,0,$0
"AGROPECUARIA EL BOTALON 85, C.A.",J-293865182,8,"$1,511,228",0,$0,8,"$1,511,228"
"AGROPECUARIA EL BUFALO 2000, C.A.",J-309817175,19,"$2,520,515",0,$0,19,"$2,520,515"
"AGROPECUARIA EL CHUPON, C.A.",J-309297406,0,$0,0,$0,0,$0
AGROPECUARIA EL PILAR C.A.,J-302014301,1,"$403,200",0,$0,1,"$403,200"
AGROPECUARIA EL REJO S.A.,J-302431905,37,"$6,548,551",0,$0,37,"$6,548,551"
AGROPECUARIA EL RETORNO C.A.,J-002355727,12,"$572,779",0,$0,12,"$572,779"
AGROPECUARIA EL TABANO C.A,J-313072478,3,"$256,868",0,$0,3,"$256,868"
AGROPECUARIA EUROVEN CA,J-305089035,65,"$9,367,982",0,$0,65,"$9,367,982"
"AGROPECUARIA EVAREAL, C.A.",J-299991430,0,$0,0,$0,0,$0
"AGROPECUARIA FAGE, C.A.",J-314471449,0,$0,0,$0,0,$0
AGROPECUARIA FUERZAS INTEGRADAS,J-305398712,40,"$7,313,359",0,$0,40,"$7,313,359"
AGROPECUARIA H. CARRILLO C.A.,J-301270126,17,"$462,300",0,$0,17,"$462,300"
"AGROPECUARIA INDUSTRIAL LA CEIBA, C.A.",J-000660948,6,"$450,292",0,$0,6,"$450,292"
"AGROPECUARIA JR, C.A.",J-301903358,89,"$7,073,015",0,$0,89,"$7,073,015"
AGROPECUARIA LA FUNDACION C.A.,J-307415800,10,"$419,269",0,$0,10,"$419,269"
"AGROPECUARIA LA GONZALERA, CA",J-311426264,0,$0,0,$0,0,$0
AGROPECUARIA LA LAPA C.A,J-293627303,3,$218,0,$0,3,$218
"AGROPECUARIA LA MILAGROSA, C.A.",J-313478954,74,"$1,827,977",0,$0,74,"$1,827,977"
"AGROPECUARIA LA PIRAMIDE, C.A.",J-311039449,122,"$31,142,306",0,$0,122,"$31,142,306"
AGROPECUARIA LA PROPICIA C.A,J-303588107,1,"$32,287",0,$0,1,"$32,287"
AGROPECUARIA LOS GALLEGOS C.A,J-308149233,0,$0,0,$0,0,$0
"AGROPECUARIA LOS HATICOS LARA, C.A.",J-300582540,9,"$3,035,856",1,"$15,519",10,"$3,051,375"
AGROPECUARIA LOS POTREROS,J-305278920,7,"$2,710,066",0,$0,7,"$2,710,066"
"AGROPECUARIA LOS SAUCES, C.A.",J-294130216,6,"$594,032",0,$0,6,"$594,032"
AGROPECUARIA MAGUI C.A,J-307918365,20,"$825,760",0,$0,20,"$825,760"
"AGROPECUARIA NIVAR, C.A.",J-300058085,278,"$71,644,645",0,$0,278,"$71,644,645"
"AGROPECUARIA PALO GORDO,C.A.",J-001123989,4,"$874,500",0,$0,4,"$874,500"
AGROPECUARIA PINEDA C.A.,J-090234713,2,"$99,922",0,$0,2,"$99,922"
"AGROPECUARIA PROCAMPOS, C.A.",J-299837954,0,$0,0,$0,0,$0
AGROPECUARIA PUNTA LARGA,J-075791320,3,"$81,268",0,$0,3,"$81,268"
AGROPECUARIA R�O DE LA PLATA C.A.,J-316866564,1,$150,0,$0,1,$150
AGROPECUARIA SAN ONOFRE 2001 CA,J-307591692,0,$0,0,$0,0,$0
"AGROPESCA CAPRI, C.A.",J-311010157,42,"$1,878,293",0,$0,42,"$1,878,293"
"AGROPESQUERA VENEZOLANA H, C.A",J-307300736,14,"$668,090",0,$0,14,"$668,090"
AGROPORC C.A.,J-302105080,1,"$362,243",0,$0,1,"$362,243"
"AGROPRODUCTOS SESAME, S.A",J-003677949,15,"$4,029,526",0,$0,15,"$4,029,526"
AGROQUIMICOS TACHIRA C.A.,J-311949160,2,"$78,552",0,$0,2,"$78,552"
"AGROREP IMPORT, C.A",J-317364619,0,$0,0,$0,0,$0
AGROREPUESTOS DEL CAMPO,J-311905073,36,"$776,480",0,$0,36,"$776,480"
AGROSISTEMAS J. P. J. C. A.,J-310286280,24,"$593,838",0,$0,24,"$593,838"
"AGROSUPLIDORES F.L., C.A.",J-313533513,92,"$3,305,597",0,$0,92,"$3,305,597"
AGROTAL C. A.,J-080212916,166,"$14,680,959",0,$0,166,"$14,680,959"
AGROTECNICA BINACIONAL C.A,J-315462834,1,"$219,135",0,$0,1,"$219,135"
AGROTRADING VENEZUELA C.A.,J-295841892,6,"$1,461,321",0,$0,6,"$1,461,321"
AGUA GAS C.A,J-305130671,329,"$10,416,737",0,$0,329,"$10,416,737"
AGUA MINERAL MIBRISA C.A.,J-304178190,42,"$3,181,288",0,$0,42,"$3,181,288"
AGUA MINERAL TREMONTI CA,J-303650252,1,"$110,072",0,$0,1,"$110,072"
"AGUABLANCA, C.A.",J-308239500,22,"$3,970,000",0,$0,22,"$3,970,000"
"AGUAMANIA, ENTRETENIMIENTO Y DIVERSIONES, C.A.",J-301251180,1,"$190,225",0,$0,1,"$190,225"
"AGUAS INDUSTRIALES DE JOSE, C.A",J-306250530,0,$0,1,"$20,901,862",1,"$20,901,862"
"AGUILAR IRAN, C.A. AIRCA",J-301709993,7,"$819,943",0,$0,7,"$819,943"
AGVET VENEZUELA C.A.,J-309406183,4,"$26,750",0,$0,4,"$26,750"
AHITON,J-305920583,211,"$2,670,913",0,$0,211,"$2,670,913"
"AICOTEL DIVISION DE TELEFONIA, ADT, C.A.",J-003622974,160,"$2,882,393",0,$0,160,"$2,882,393"
AIR CANADA,J-003094005,0,$0,78,"$65,120,353",78,"$65,120,353"
AIR CONDITIONING SERVICE CA,J-301184173,56,"$3,310,862",0,$0,56,"$3,310,862"
AIR EUROPA LINEAS AEREAS C.A.,J-308616575,0,$0,89,"$237,991,685",89,"$237,991,685"
AIR FRANCE,J-000076235,0,$0,90,"$587,220,942",90,"$587,220,942"
